author,video_id
1080815,17
749744,52
315697,2
1110510,1
310569,3
758646,1
696707,19
1260130,8
257199,9
86331,13
810006,1
837720,7
220548,1
778877,10
573289,2
40649,2
19314,10
1174209,2
1209648,1
433849,4
30579,8
925712,1
77976,31
542582,2
228855,2
408714,1
1234677,1
767605,2
309195,6
1106250,4
13540,1
1131552,1
321871,2
416476,18
512784,1
252936,5
285077,4
849275,2
581331,23
115888,7
185420,1
1259325,36
1118776,1
1083567,1
146847,1
67563,5
1163026,178
523501,9
1005571,6
799694,1
16775,1
1128183,5
350038,3
145867,21
157712,660
1044470,1
1105600,23
1212504,1
215309,14
1235779,11
831998,22
1197113,18
30592,233
1090871,2
965823,1
619113,2
30951,2
485905,7
1116726,34
702995,173
1159169,1
413541,1
1248489,1
79425,4
217882,30
867384,2
534983,6
915232,3
118408,3
145486,38
1234811,15
216063,1
23409,2
1116088,26
1260226,62
1112288,1
509529,4
377302,1
124139,1
169293,1
872397,2
403005,1
1097634,2
200029,102
864090,16
850145,14
223075,1
1276815,2
1050725,1
95697,42
43112,5
169768,3
1184111,15
245603,2
217419,8
75309,8
211709,1
523954,21
288927,7
919661,16
230240,8
501565,12
5732,9
321436,2
426930,1
612045,1
1110455,270
1263465,2
759344,2
684163,9
206870,3
261300,10
628632,1
239122,2
1037578,3
1256344,2
21018,46
1218386,12
1027507,5
15883,12
190925,1
704045,3
951699,4
1256675,1
652770,51
885852,1
399833,6
790880,1
804010,32
1173964,9
740211,1
249664,1
222460,1
511313,2
1034259,11
658594,1
983942,93
430269,10
490554,3
400211,3
437788,1
333261,12
496327,7
27675,2
422381,3
1197819,12
1240414,5
811511,34
591615,1
232837,80
94336,8
488070,3
400782,32
385954,4
893393,1
1284293,1
259713,54
881613,1
973716,1
1031262,28
1096613,1
535320,12
1055857,1
185692,2
1125955,2
654454,7
774926,2
162151,1
322704,6
1253095,1
401524,1
416304,2
983487,3
421233,73
774580,4
1008336,2
20794,5
938617,1
1221007,2
94183,315
314475,6
1215216,2
1071354,2
1183287,2
292113,2
941540,17
131156,5
55681,4
258382,1
518974,1
853241,146
1273231,1
943943,1
63477,3
586433,2
625943,6
883329,2
1008997,1
274221,4
929144,1
724357,29
1265323,4
1140516,2
801236,1
623619,1
1132046,14
303521,1
719066,6
931341,3
181554,3
644130,2
1211082,1
615849,1
811846,2
351119,1
763306,1
1221075,1
882481,3
499885,13
728961,96
770588,1
1153391,6
354374,11
138083,1
61201,1
106796,4
321066,5
980494,4
587100,13
330958,7
129299,1
236515,1
53449,1
398389,1
1145151,2
364674,40
1210959,1
999048,1
653499,9
300142,2
410756,9
106592,1
1285027,1
890677,1
677018,4
962210,3
746024,1
366782,6
1228245,4
259729,3
1183352,6
1107289,1
66555,15
920874,1
1020372,1
72547,1
6366,12
97460,3
845830,5
498357,2
39989,55
1263012,3
528897,46
774173,1
840145,2
234325,2
1281933,1
812696,29
1023350,3
852975,3
460321,79
564055,5
118161,2
164790,4
542084,4
793957,3
1134378,4
507476,1
547988,1
592553,3
1172774,16
1163076,51
293679,1
72664,1
105476,1
134109,1
161882,1
755082,1
378268,2
768479,2
642594,1
554290,1
42397,8
1070296,1
512967,1
1119016,1
386819,202
238209,15
531197,1
424384,1
949445,1
25375,7
862815,2
360508,6
1091464,1
247183,2
731033,2
1030190,27
593578,6
223080,35
620190,2
364964,10
822571,2
924630,1
754898,5
797170,1
428729,16
1049031,1
1025760,20
767951,3
501460,1
649451,2
561703,5
972245,2
603920,1
40996,9
843011,8
78460,13
828305,8
151363,9
1617,5
896143,12
970526,1
1256608,66
1247180,2
272844,3
176608,2
1140709,1
847752,1
965382,6
722339,17
894713,25
1274461,386
672564,185
141978,1
504043,1
898153,4
1194888,12
42878,1
823816,5
1048655,1
152849,1
436872,1
1176035,2
993782,2
258660,1
1099536,13
1225436,227
1072993,1
710232,1
388402,1
584075,1
567753,2
455973,13
664177,33
715855,9
885262,4
409835,1
587352,9
167072,1
579543,2
204937,7
1182818,1
841309,4
863551,3
227713,2
784559,1
1150122,1
1194549,3
22837,281
124776,53
767990,7
472548,11
1152844,2
3066,3
303105,1
1200,1
1140398,1
1234778,7
310961,5
104,7
1240059,61
950333,1
1065544,1
625935,1
451407,131
422291,6
1033552,49
1201016,1
601915,26
648503,55
1130030,2
797316,82
735995,1
6138,9
879313,1
23770,1
365500,3
655846,1
550694,1
964705,1
189291,2
804249,5
706000,9
695489,1
1042838,45
549594,1
653350,1
530898,17
272758,1
600604,2
1104941,2
282465,29
315837,2
113044,1
22303,10
530779,9
1240284,5
296894,1
56188,7
173862,3
496054,1
422608,88
120522,26
303030,18
217879,19
579224,1
524067,6
871605,2
947599,2
945803,3
444285,1
1209178,2
596106,1
1204724,291
1008026,2
21324,23
1534,12
145823,12
152020,1
38436,31
1082248,1
194041,2
683129,3
388375,65
1092370,3
413539,1
64497,1
974791,7
198594,637
1175393,9
242944,271
61898,19
772096,2
86747,8
661890,1
381108,3
787569,1
1129815,2
409772,5
1279670,1
1205618,15
457546,19
846019,9
1052549,1
182505,1
1045802,7
233482,6
657389,1
337476,13
370175,4
965561,19
917042,2
726711,11
1123307,4
1182283,3
53760,3
424898,10
340375,6
722623,3
97014,16
622424,6
536249,8
305129,1
1168186,11
1132944,1
1187172,4
962409,1
678618,1
612815,13
