author,video_id,likes,replies
13221,d8lwa-h6HeE,0,0
36658,I4Q3YDezqcM,0,0
59630,8wc83qX6oNM,0,0
60505,DG8fXR3Iijg,0,0
35426,EDjKhWeXFZs,0,0
60961,GrcMkHaUOXg,1,0
10859,Ej0FFTJ8otc,0,0
64856,8BQqX3bUqtY,1,0
41334,7KpSRFoIi_0,0,0
39022,-IwuQt4AZ7k,0,0
60012,aKrNVeXyRI4,0,0
8608,FgfJG5JrY40,0,0
7236,YAZli_X28Xk,1,0
50456,ZUKVPvmclsw,0,0
54320,ZU_UZ8o7Snw,0,0
44001,x259G6Vb70Q,0,0
58087,Yt8oZ5AZ5u4,0,0
2316,R-d0_MNNbhg,0,2
42477,2k-9D4ZMU2s,0,0
2097,jSx4tuFkcTA,0,0
58196,hh0-_kpDEVA,0,0
36483,5GZuUFZYOgw,0,0
6573,j0IRaS45AtQ,0,0
44458,5nUO0xzxDQ4,10,1
24904,HzdEd2XFIkg,0,0
48402,_7lq6YDA-2I,0,0
50133,N6OYC97vJ8U,0,0
1255,q3G6DBfYcaw,0,0
58087,-aCTYbuZnIU,0,0
23748,7ugmBwVwc-E,0,0
40825,0KXQ9eQxnuU,1,0
20235,CE0-RCATrm4,0,0
59284,FIoba5Vzfi8,0,0
61529,PAK1jcfzrxE,0,0
51630,bq8TPDPSVzw,3,0
32073,mDXX1NmpzQo,0,0
45579,MlBbwH7gjsM,0,0
47858,No_54JEGqKA,0,0
9704,1MdoqnlRjCQ,0,0
41200,x3NaVE73lpc,0,0
40228,axu_JjYrvp0,0,0
9802,igbwY_Je2S8,0,0
31547,pBVtqDLS7AY,0,0
8862,enN_GNxuQvk,0,0
49049,hTrAK0udiGI,0,0
45208,8fyCQv38Jv4,0,0
24720,lECWjhAEly0,0,0
63473,Aj0QJjf2Jgk,6,0
21545,l-91oVITZAo,0,1
37372,nidQCt_HEsY,0,0
51343,zzB3lMULujg,1,0
12637,eHLAnQghYTI,0,0
51161,DBB85e1kgrc,0,0
39111,zqwFL6xTB1c,0,0
8585,dRFIQVekIJc,0,0
58087,4_sF8WvbCvk,0,0
53060,XoU1ND_gkd8,0,0
16912,cQsfhLhF9pY,1,0
27238,XT9IDo-vF5k,0,0
37539,GASoFrUIqDM,0,0
44805,URHkp8tKaO0,0,0
19613,pK1CTbSU0aQ,1,0
18836,cD1EB3FKuzY,0,0
62417,Q5ee1-pM4RM,0,0
29829,ZBjRGC-q0-4,0,0
20334,JWEOHd9JNmk,0,0
25455,QwkU9yHCuzo,0,0
44770,idtPmLuSjk8,0,0
3550,_mtQpWA5RoQ,0,0
22520,IvxRsDpXPGo,1,0
39756,zlJ8bOWNajI,0,0
10185,tkuoRGig4Cs,0,0
47862,UcTLJ692F70,0,0
33895,TnVxCgV8lNE,0,0
62687,8f2reO_PBLU,0,0
24241,xBVOVhrrl4A,0,0
14573,M114bK4qaiM,0,0
3085,psw4gbreDCI,0,0
51821,JG0nl2XhzDw,0,0
33294,O-94nJENTTw,0,0
9025,N8ZI1Jlrf-w,0,0
45346,QwIkExIIxiQ,0,0
36090,1CPO20JAm6g,0,0
47903,OSCiMbMVDLI,0,0
8158,v8mqy-Q_P6g,0,1
40441,v2H4l9RpkwM,0,0
47903,xcKuuK9MK1Q,0,0
40595,lP6sSxSlY6o,0,0
23221,o9K6Fo2eLck,0,0
12695,fCAZNrYw73M,0,0
49619,_01FHjER_mk,0,0
48090,cpdkVc2Bkm0,0,0
61432,P3LSsni8Kpk,38,7
33803,X73cqp5xtAw,3,0
21975,sphZS8JVwNc,1,0
52905,rT9LhUvtoiI,0,0
45518,KTX5PruTHkE,5,0
47031,jfLp8pxA4fQ,0,1
1047,62_YwlKK9ck,43,0
64856,fE_vNPTMHnw,0,0
16912,E38UhsUP1PY,1,0
50393,FNmki1g2JP8,1,0
48547,VfCYZ3pks48,2,0
34000,u_J0Ng5cUGg,6,0
32325,Ui_it7fnrw8,5,0
61250,fxxYx30l01A,0,0
49377,tPUTk1A14vY,1,0
9412,kmEj5SQCLkM,1,0
9928,llY7hhKNroA,0,0
36431,zWtjbcCApP8,1,5
45128,bVg0eWssSb8,0,0
54026,eAZfC0epjz4,4,0
62752,MxA92NBYu1Q,3,0
20139,qVqqcbS914M,4,0
58783,YPamiZQ5tWg,0,0
41200,lAWDlrTv6fw,0,0
55436,l87XD5UeUy4,0,0
49798,Ful3MtK_uMI,0,0
43201,Imv0SZ6dj04,0,0
53867,0GgHhOqUrUw,0,0
51787,LI1WUWheZOY,0,0
41191,VkndHuoVRrA,0,0
58087,LcFvMuc58z8,0,0
26561,XDUxYxHU3CY,0,0
32825,kOkQ4T5WO9E,1,0
38134,15IctFHYgFc,0,0
39531,Igj3Tn-qKU4,0,0
22319,IQkVEOVhwLY,0,0
44377,3R2uvJqWeVg,0,0
39648,yba8YudXeCI,0,0
39648,858daGgk-tg,0,0
58063,9TeADOh49kU,0,0
18779,oRzyceprYYQ,0,0
1088,mwbOlR9unkQ,1,0
34580,apUxVYdxfHw,0,0
1422,0GPR7d83X38,0,0
19364,F3VAQ3ufgqo,8,0
269,Z50RQWJi8jw,3,0
1088,M96AE6wF28M,0,0
55610,S-uJ7PDiUxU,0,0
55081,mftGL4VY8QQ,0,0
27773,C5Mj2x1eeOI,0,0
43074,KEuMryC8izg,2,0
26433,aztdMwYrF4k,0,0
16912,wNu6v4ap8-c,0,0
4860,-kLLCmtAij4,0,0
23155,OgSTNj5h4bA,0,0
57789,xmpCYbQPSRw,0,0
11807,CgtUUOP8WmQ,0,0
22541,9o3TRXQazBs,0,0
20926,D3JEU8Cqroo,4,0
5752,vpvWTaxFx4A,0,0
5900,SDaVXEbOFVo,0,0
9524,2dQTvTZ6QUg,0,0
