display_id,num_comms
qYTIOfIZf0A,17.0
jr4lszR51r8,200.0
DkOGctw5vQs,6.0
Agzi8A_vp_w,2.0
KG-o59AXqlA,1.0
5u07dnyn2oo,0.0
NS-e8tiP3Hg,1.0
l-ucVFLGoII,36.0
vtZZS7hrPS8,66.0
UoAEagOdhuw,28.0
_gwg_AX3Y_M,542.0
Catv-1jcBD0,22.0
sIKf_8-gaos,1.0
ltuxHg_hIB0,14.0
zwPpAEunGC8,4.0
9J7PTqM18do,22.0
D4bUMs_3HpE,26.0
QHHoEpa8Ey0,21.0
ZnZsTPF-aOE,28.0
0RJuQ5SvRug,4.0
EzWpOlkMGUA,9.0
cRaQPXOeO78,2.0
aYkdGrbwWZU,651.0
N7gh0dfIITE,87.0
WPxK67jyy6Y,9.0
bMN1uM-R5LQ,13.0
e4ewNB-2pLA,3.0
i8qt5Q8nT-g,91.0
e8L5k0kJqLg,26.0
GZqXOVGSNZ0,3.0
NxxxTbbrj6A,0.0
A-lx3w7qyHU,0.0
kee2g4Y4TEs,61.0
x-E1aKneJHs,172.0
TlAn1IjwF1k,0.0
MevJZ0Kb9Uw,1.0
XiArgOZWQEg,11.0
FmM45qqLvVo,22.0
iWsxT0w3JKs,3.0
6oTmqUweJNs,53.0
2Xa1bL-xrwk,0.0
cATBtdikd60,0.0
4uvRAdadiAQ,29.0
maPeDiP6R8U,8.0
yCRSAIvlFq0,0.0
hedZ0YL1bFA,11.0
5lFP5dqx7_I,2.0
6Y8gB39AXAo,39.0
jZCcgg2lSRU,48.0
Pg5czom3SMg,1.0
NsK8ZWJBkVs,0.0
QewvaePVApQ,436.0
IKnm680Hbe0,178.0
wxhLddWVvA4,251.0
sqpsKAKtJYQ,31.0
RaUmaH9d6dc,0.0
-tbx-RFOaKE,43.0
BgZvbdNHvPU,22.0
Sn-G8FZJA_k,0.0
c3fkanrWTEo,1.0
c8pqQ0CIkc0,63.0
r0iat1-y7z8,130.0
QgUmLm8_Exo,5.0
jOkA6s8m1lc,17.0
zM8H2Cdrz_c,68.0
kYxj02Om978,0.0
enJWxOFjxQ8,0.0
gHVOtY7ASzA,14.0
-f3g8YFoOtg,102.0
Ts6NOLHQAlM,20.0
ptafwQh9ZZ4,0.0
