categories,channel_id,dislike_count,display_id,duration,like_count,upload_date,view_count
Gaming,UCf4F9MrlQdJI8KHzJKQdIfA,250.0,_1A5sfRecnE,416,2526.0,2016-07-02,185296.0
Music,UCf4CA6OOjA0AZN6H5bY5PnQ,,HhB4bQ3qZMI,480,,2019-01-22,157.0
Music,UCf4CA6OOjA0AZN6H5bY5PnQ,,Gbzd03mRexk,3745,,2018-11-26,777.0
Music,UCf4CA6OOjA0AZN6H5bY5PnQ,,ECnVKqONFGw,3007,,2018-07-08,991.0
Entertainment,UCf49Qaiuhg82Z2MfoXlBzMA,9.0,x5KzTgVI1gI,520,566.0,2019-07-17,5371.0
Film & Animation,UCf4-1iHEgNgNWH_HKmYAtcw,19.0,l2eb5lSRUGY,3604,37.0,2019-04-15,9186.0
Education,UCf4-1iHEgNgNWH_HKmYAtcw,56.0,n8a-m_mfgro,3753,127.0,2017-11-28,104187.0
Education,UCf4-1iHEgNgNWH_HKmYAtcw,5.0,HWj8gcyH2qY,1212,11.0,2016-04-30,24411.0
People & Blogs,UCf3zC37shKpfAakrIsbOsTA,0.0,2Se6kt8ZUSw,22,2.0,2014-11-06,168.0
Music,UCf3yhIJvADK2-1Qy53LIKQw,222.0,ViZASLTcffU,194,8811.0,2018-02-01,545371.0
Nonprofits & Activism,UCf3xmt7n05cVhYelluYao5w,2.0,B3YdZggWJRE,163,32.0,2017-10-18,798.0
Music,UCf3r1JdYf6scuGaI0YRkyNg,15.0,dSBecdKArzE,594,922.0,2019-01-04,28382.0
Music,UCf3r1JdYf6scuGaI0YRkyNg,2.0,g32zTRkDPw4,80,4.0,2012-03-08,745.0
Gaming,UCf2ocK7dG_WFUgtDtrKR4rw,5.0,ErFqr8qhrnI,918,49.0,2013-11-05,8573.0
Autos & Vehicles,UCf2f4MeZzSksVMe1z3Lp3hw,3.0,hFyibVT8Kdc,389,168.0,2018-03-14,19458.0
Howto & Style,UCf2dwxAK41dJQrBMk8DbOhw,9.0,td15LqfLV4s,538,439.0,2011-11-26,56046.0
Gaming,UCf2ZAycjH8tPW0R-FRsMKNA,1.0,VFBwhYHozsI,329,27.0,2018-01-13,266.0
